mac	opzoekdatum	titel_in_gids	type	duur	playlist
L	20190717_14	Concertzender Actueel	herhaling	120	CZ-Actueel (herhaling)
L	20190718_14	Concertzender Live	nieuw	120	CZ-Archief
L	20190719_14	Concertzender Live	nieuw	120	CZ-Live oud_klassiek
L	20190724_14	Concertzender Actueel	nieuw	120	CZ-Actueel
U	20190711_19	Onbekend is Onbemind?	HiJack 	060	Onbemind
U	20190711_20	De Vorige Eeuw	HiJack 	060	De Vorige Eeuw (herhaling)
U	20190711_21	Sonoor	HiJack 	060	Sonoor (herhaling)
U	20190714_15	L’Esprit Baroque	HiJack 	060	Esprit Baroque
U	20190714_16	Orgelwerk	HiJack 	060	Orgelwerk
U	20190714_17	Bijdetijds	HiJack 	060	Bijdetijds (herhaling)
U	20190714_19	Sensenta	HiJack 	060	Sensenta (herhaling)
U	20190714_21	X-Rated	HiJack 	120	X-rated (herhaling)
U	20190715_19	Nuove Musiche	HiJack 	060	Nuove Musiche (herhaling)
U	20190715_20	Concertzender Live	HiJack 	120	CZ-Live hedendaags
U	20190717_20	De Muzikant	HiJack 	060	De Muzikant
U	20190717_21	Door de Mazen van het Net	HiJack 	060	Mazen (herhaling)
U	20151214_22	Musicians Corner	herhaling	060	Musicians Corner
U	20190705_20	El Mundo	herhaling	060	El Mundo
U	20190711_13	Geen dag zonder Bach	herhaling	060	Geen Dag zonder Bach D_do
U	20190712_13	Geen dag zonder Bach	herhaling	060	Geen Dag zonder Bach E_vr
U	20190712_19	Oriënt Express	herhaling	060	Oriënt Express (herhaling)
U	20190712_20	Disc-Cover!	herhaling	060	Disc-Cover
U	20190712_21	De Zwervende Microfoon	herhaling	060	Zwervende Microfoon
U	20190713_01	De Nacht: Wereld	herhaling	360	De Nacht - Wereldmuziek
U	20190713_10	Zwerven door de Barok	herhaling	060	Zwerven (herhaling)
U	20190713_13	Chanson	herhaling	060	Chanson (herhaling)
U	20190713_16	Moanin’ the Blues	herhaling	060	Moanin the Blues
U	20190713_18	Vocale Jazz	herhaling	060	Vocal Jazz
U	20190713_20	Het Paleis van de Weemoed	herhaling	060	Paleis vd Weemoed (herhaling)
U	20190713_23	The Art of the Improvisers	herhaling	060	Art Impro (herhaling)
U	20190714_04	De Nacht: Klassiek	herhaling	180	De Nacht - Klassiek G_zo
U	20190714_12	Radio Monalisa	herhaling	060	Monalisa (herhaling)
U	20190714_13	Paul Korenhofs Opera Actueel	herhaling	060	Opera Actueel (herhaling)
U	20190715_05	Framework 1	herhaling	060	Framework 1
U	20190715_06	Framework 2	herhaling	060	Framework 2
U	20190715_22	De Modernen	herhaling	060	De Modernen
U	20190715_23	Front Runnin’	herhaling	060	Front Runnin' (herhaling)
U	20190716_01	De Nacht: Klassiek	herhaling	360	De Nacht - Klassiek B_di
U	20190716_17	Opera in de 20ste eeuw	herhaling	060	Opera-XX (herhaling)
U	20190716_18	Missa etcetera	herhaling	060	Missa Etcetera (herhaling)
U	20190716_19	De wandeling	herhaling	060	Wandeling (herhaling)
U	20190716_20	Radio Romantica	herhaling	060	Radio Romantica (herhaling)
U	20190716_21	Tussen droom en daad	herhaling	060	Tussen Droom en Daad (herhaling)
U	20190717_03	De Nacht: Klassiek	herhaling	240	De Nacht - Klassiek C_wo
U	20190717_22	Electronic Frequencies	herhaling	060	El.Frequencies (herhaling)
U	20190718_02	De Nacht: Hedendaags	herhaling	300	De Nacht - Hedendaags
U	20190718_16	Componist van de Maand	nieuw	060	Componist vd Maand D_do
U	20190718_22	Terra Incognita	nieuw	060	Terra Incognita
U	20190718_23	Pakrammel	nieuw	060	Pakrammel
U	20190719_16	Componist van de Maand	nieuw	060	Componist vd Maand E_vr
U	20190719_19	Oriënt Express	nieuw	060	Oriënt Express
U	20190719_21	Acoustic Roots	nieuw	060	Acoustic Roots
U	20190719_22	Tango Fusión	nieuw	060	Tango Fusion
U	20190719_23	Wereldmuziek Club	nieuw	060	Wereldmuziek Club
U	20190720_10	Zwerven door de Barok	nieuw	060	Zwerven
U	20190720_12	The Sound of Movies	nieuw	060	Sound of Movies
U	20190720_13	Chanson	nieuw	060	Chanson
U	20190720_14	Concertzender Live	nieuw	060	CZ-Live jazz
U	20190720_15	Duke Ellington	nieuw	060	Duke Ellington
U	20190720_16	Groove &amp; Grease	nieuw	060	Groove & Grease
U	20190720_17	House of Hard Bop	nieuw	060	House of Hard Bop
U	20190720_18	Spinning the Blues	nieuw	060	Spinning the Blues
U	20190720_22	JazzNotJazz	nieuw	060	JazzNotJazz
U	20190720_23	The Art of the Improvisers	nieuw	060	Art Impro
U	20190721_10	Madge-point	nieuw	060	Madge-point
U	20190721_11	Sound the Trumpet, Strike the Viol!	nieuw	060	Sound the Trumpet
U	20190721_12	Radio Monalisa	nieuw	060	Monalisa
U	20190721_13	Paul Korenhofs Opera Actueel	nieuw	060	Opera Actueel
U	20190721_14	Het Strijkkwartet	nieuw	060	Strijkkwartet
U	20190721_15	Early Delights	nieuw	060	Early Delights
U	20190721_16	Documento	nieuw	060	Documento
U	20190721_17	Bijdetijds	nieuw	060	Bijdetijds
U	20190721_18	Folk It!	nieuw	060	Folk It!
U	20190721_20	Space Exposure	nieuw	060	Space Exposure
U	20190721_23	X-Ray	nieuw	060	X-ray
U	20190722_00	Dr. Klangendum	nieuw	060	Dr Klangendum
U	20190722_13	Geen Dag zonder Bach	nieuw	060	Geen Dag zonder Bach A_ma
U	20190722_16	Componist van de Maand	nieuw	060	Componist vd Maand A_ma
U	20190722_22	American Highways	nieuw	060	American Highways
U	20190722_23	Front Runnin’	nieuw	060	Front Runnin'
U	20190723_13	Geen Dag zonder Bach	nieuw	060	Geen Dag zonder Bach B_di
U	20190723_16	Componist van de Maand	nieuw	060	Componist vd Maand B_di
U	20190723_17	Opera in de 20ste eeuw	nieuw	060	Opera-XX
U	20190723_18	Missa Etcetera	nieuw	060	Missa Etcetera
U	20190724_13	Geen Dag zonder Bach	nieuw	060	Geen Dag zonder Bach C_wo
U	20190724_16	Componist van de Maand	nieuw	060	Componist vd Maand C_wo
U	20190724_22	Electronic Frequencies	nieuw	060	El.Frequencies
