mac	opzoekdatum	titel_in_gids	type	duur	playlist
L	20190710_14	Concertzender Actueel	herhaling	120	CZ-Actueel (herhaling)
L	20190711_14	Concertzender Live	nieuw	120	CZ-Archief
L	20190712_14	Concertzender Live	nieuw	120	CZ-Live oud_klassiek
L	20190717_14	Concertzender Actueel	nieuw	120	CZ-Actueel
U	20190704_19	Klassieke Zaken	HiJack 	060	Klassieke Zaken (herhaling)
U	20190704_20	De Vorige Eeuw	HiJack 	060	De Vorige Eeuw (herhaling)
U	20190704_21	Sonoor	HiJack 	060	Sonoor (herhaling)
U	20190706_19	Holland Jazz	HiJack 	060	Holland Jazz
U	20190706_20	Het Paleis van de Weemoed	HiJack 	060	Paleis vd Weemoed (herhaling)
U	20190707_19	Sensenta	HiJack 	060	Sensenta (herhaling)
U	20190707_21	X-Rated	HiJack 	120	X-rated (herhaling)
U	20190708_19	Nuove Musiche	HiJack 	060	Nuove Musiche (herhaling)
U	20190708_20	Concertzender Live	HiJack 	120	CZ-Live klassiek (herhaling)
U	20190709_19	De wandeling	HiJack 	060	Wandeling (herhaling)
U	20190709_20	Radio Romantica	HiJack 	060	Radio Romantica (herhaling)
U	20190709_21	Tussen droom en daad	HiJack 	060	Tussen Droom en Daad (herhaling)
U	20190710_20	Concertzender Live	HiJack 	060	Thema (herhaling)
U	20151214_22	Musicians Corner	herhaling	060	Musicians Corner
U	20190627_23	Pakrammel	herhaling	060	Pakrammel
U	20190704_16	Componist van de maand	herhaling	060	Componist vd Maand D_do
U	20190705_16	Componist van de maand	herhaling	060	Componist vd Maand E_vr
U	20190705_19	Oriënt Express	herhaling	060	Oriënt Express (herhaling)
U	20190705_20	El Mundo	herhaling	060	El Mundo
U	20190705_21	Exitos Musicales	herhaling	060	Exitos Musicales
U	20190706_10	Zwerven door de Barok	herhaling	060	Zwerven (herhaling)
U	20190706_13	Chanson	herhaling	060	Chanson (herhaling)
U	20190706_16	Classic Jazz	herhaling	060	Classic Jazz
U	20190706_18	Spinning the Blues	herhaling	060	Spinning the Blues
U	20190706_23	The Art of the Improvisers	herhaling	060	Art Impro (herhaling)
U	20190707_12	Een Os op het Dak	herhaling	060	Een Os op het Dak
U	20190707_13	Paul Korenhofs Opera Actueel	herhaling	060	Opera Actueel (herhaling)
U	20190707_15	De Tuin van Oud	herhaling	060	Tuin van Oud
U	20190707_16	Documento	herhaling	060	Documento (herhaling)
U	20190707_17	Bijdetijds	herhaling	060	Bijdetijds (herhaling)
U	20190708_13	Geen dag zonder Bach	herhaling	060	Geen Dag zonder Bach A_ma
U	20190708_16	Componist van de maand	herhaling	060	Componist vd Maand A_ma
U	20190708_22	American Highways	herhaling	060	American Highways (herhaling)
U	20190708_23	Front Runnin’	herhaling	060	Front Runnin' (herhaling)
U	20190709_13	Geen dag zonder Bach	herhaling	060	Geen Dag zonder Bach B_di
U	20190709_16	Componist van de maand	herhaling	060	Componist vd Maand B_di
U	20190709_17	Opera in de 20ste eeuw	herhaling	060	Opera-XX (herhaling)
U	20190709_18	Missa etcetera	herhaling	060	Missa Etcetera (herhaling)
U	20190710_13	Geen Dag zonder Bach	herhaling	060	Geen Dag zonder Bach C_wo
U	20190710_16	Componist van de maand	herhaling	060	Componist vd Maand C_wo
U	20190710_22	Electronic Frequencies	herhaling	060	El.Frequencies (herhaling)
U	20190711_13	Geen Dag zonder Bach	nieuw	060	Geen Dag zonder Bach D_do
U	20190711_22	Popart	nieuw	060	PopArt
U	20190712_13	Geen Dag zonder Bach	nieuw	060	Geen Dag zonder Bach E_vr
U	20190712_19	Oriënt Express	nieuw	060	Oriënt Express
U	20190712_20	Disc-Cover!	nieuw	060	Disc-Cover
U	20190712_21	De Zwervende Microfoon	nieuw	060	Zwervende Microfoon
U	20190712_22	Wereldmineralen	nieuw	060	Wereldmineralen
U	20190712_23	Wereldmuziek Club	nieuw	060	Wereldmuziek Club
U	20190713_01	De Nacht: Wereld	nieuw	360	De Nacht - Wereldmuziek
U	20190713_10	Zwerven door de Barok	nieuw	060	Zwerven
U	20190713_12	The Sound of Movies	nieuw	060	Sound of Movies
U	20190713_13	Chanson	nieuw	060	Chanson
U	20190713_14	Concertzender Live	nieuw	060	CZ-Live jazz
U	20190713_15	Three of a Kind	nieuw	060	Three of a Kind
U	20190713_16	Moanin’ the Blues	nieuw	060	Moanin the Blues
U	20190713_17	Krizz Krazz	nieuw	060	Krizz Krazz
U	20190713_18	Vocale Jazz	nieuw	060	Vocal Jazz
U	20190713_20	Het Paleis van de Weemoed	nieuw	060	Paleis vd Weemoed
U	20190713_22	JazzNotJazz	nieuw	060	JazzNotJazz
U	20190713_23	The Art of the Improvisers	nieuw	060	Art Impro
U	20190714_04	De Nacht: Klassiek	nieuw	180	De Nacht - Klassiek G_zo
U	20190714_10	Het pianoatelier	nieuw	060	Het Pianoatelier
U	20190714_11	Die sanck een Liedt	nieuw	060	Die sanck een Liedt
U	20190714_12	Radio Monalisa	nieuw	060	Monalisa
U	20190714_13	Paul Korenhofs Opera Actueel	nieuw	060	Opera Actueel
U	20190714_14	Het Strijkkwartet	nieuw	060	Strijkkwartet
U	20190714_18	Folk It!	nieuw	060	Folk It!
U	20190714_20	DreamScenes	nieuw	060	DreamScenes
U	20190714_23	X-Ray	nieuw	060	X-ray
U	20190715_00	Dr. Klangendum	nieuw	060	Dr Klangendum
U	20190715_05	Framework 1	nieuw	060	Framework 1
U	20190715_06	Framework 2	nieuw	060	Framework 2
U	20190715_22	De Modernen	nieuw	060	De Modernen
U	20190715_23	Front Runnin’	nieuw	060	Front Runnin'
U	20190716_01	De Nacht: Klassiek	nieuw	360	De Nacht - Klassiek B_di
U	20190716_17	Opera in de 20ste eeuw	nieuw	060	Opera-XX
U	20190716_18	Missa etcetera	nieuw	060	Missa Etcetera
U	20190716_19	De wandeling	nieuw	060	Wandeling
U	20190716_20	Radio Romantica	nieuw	060	Radio Romantica
U	20190716_21	Tussen droom en daad	nieuw	060	Tussen Droom en Daad
U	20190717_03	De Nacht: Klassiek	nieuw	240	De Nacht - Klassiek C_wo
U	20190717_22	Electronic Frequencies	nieuw	060	El.Frequencies
U	20190718_02	De Nacht: Hedendaags	nieuw	300	De Nacht - Hedendaags
